season,constructor,points,position
2016,Mercedes,765,1
2016,Red Bull,468,2
2016,Ferrari,398,3
2016,Force India,173,4
2016,Williams,138,5
2016,Mclaren,76,6
2016,Toro Rosso,63,7
2016,Haas,29,8
2016,Renault,8,9
2016,Sauber,2,10
2016,MRT Mercedes,1,11
2017,Mercedes,668,1
2017,Ferrari,522,2
2017,Red Bull,368,3
2017,Force India,187,4
2017,Williams,83,5
2017,Renault,57,6
2017,Toro Rosso,53,7
2017,Haas,47,8
2017,Mclaren,30,9
2017,Sauber,5,10
2017,MRT Honda,0,11
2018,Mercedes,655,1
2018,Ferrari,571,2
2018,Red Bull,419,3
2018,Renault,122,4
2018,Haas,93,5
2018,Mclaren,62,6
2018,Force India,52,7
2018,Sauber,48,8
2018,Toro Rosso,33,9
2018,Williams,7,10
2019,Mercedes,739,1
2019,Ferrari,504,2
2019,Red Bull,417,3
2019,McLaren,145,4
2019,Renault,91,5
2019,Toro Rosso,85,6
2019,Racing Point,73,7
2019,Alfa Romeo,57,8
2019,Haas,47,9
2019,Williams,1,10
2020,Mercedes,573,1
2020,Red Bull,319,2
2020,McLaren,202,3
2020,Racing Point,195,4
2020,Renault,181,5
2020,Ferrari,131,6
2020,AlphaTauri,107,7
2020,Alfa Romeo,8,8
2020,Haas,3,9
2020,Williams,0,10
2021,Mercedes,613.5,1
2021,Red Bull,585.5,2
2021,Ferrari,387.5,3
2021,McLaren,275,4
2021,Alpine,155,5
2021,AlphaTauri,142,6
2021,Aston Martin,77,7
2021,Williams,23,8
2021,Alfa Romeo,13,9
2021,Haas,0,10
2022,Red Bull,759,1
2022,Ferrari,554,2
2022,Mercedes,515,3
2022,Alpine,173,4
2022,Mclaren,159,5
2022,Alfa Romeo,55,6
2022,Aston Martin,55,7
2022,Haas,37,8
2022,AlphaTauri,35,9
2022,Williams,8,10
2023,Red Bull,860,1
2023,Mercedes,409,2
2023,Ferrari,406,3
2023,McLaren,302,4
2023,Aston Martin,280,5
2023,Alpine,120,6
2023,Williams,28,7
2023,AlphaTauri,25,8
2023,Alfa Romeo,16,9
2023,Haas,12,10
2024,McLaren,666,1
2024,Ferrari,652,2
2024,Red Bull,589,3
2024,Mercedes,468,4
2024,Aston Martin,94,5
2024,Alpine,65,6
2024,Haas,58,7
2024,RB Honda,46,8
2024,Williams,17,9
2024,Kick Sauber,4,10
