driver,nationality,dob
Nico Rosberg,German,1985-06-27
Jenson Button,British,1980-01-19
Max Verstappen,Dutch,1997-09-30
Lando Norris,British,1999-11-13
Lewis Hamilton,British,1985-01-07
Valtteri Bottas,Finnish,1989-08-28
Sergio Pérez,Mexican,1990-01-26
Charles Leclerc,Monacogais,1997-10-16
Carlos Sainz,Spanish,1994-09-01
George Russell,British,1998-02-15
Daniel Ricciardo,Australian,1989-07-01
Pierre Gasly,French,1996-02-07
Fernando Alonso,Spanish,1981-07-29
Lance Stroll,Canadian,1998-10-29
Kevin Magnussen,Danish,1992-10-05
Yuki Tsunoda,Japanese,2000-05-11
Alexander Albon,Thai,1996-10-23
Nico Hülkenberg,German,1987-08-19
Esteban Ocon,French,1996-09-17
liam Lawson,New Zealander,2003-06-02
Oscar Piastri,Australian,2001-04-06
Oliver Bearman,British,2005-05-08
Franco Colapinto,Argentinian,2003-05-27
Logan Sargeant,American,2000-12-31
Zhou Guanyu,Chinese,1999-05-30
Nyck de Vries,Dutch,1995-02-06
Sebastian Vettel,German,1987-07-03
Nicholas Latifi,Canadian,1995-06-29
Kimi Räikkönen,Finnish,1979-10-17
Nikita Mazepin,Russian,1999-03-02
Mick Schumacher,German,1999-03-22
Antonio Giovinazzi,Italian,1993-12-14
Romain Grosjean,French,1986-04-17
Daniil Kvyat,Russian,1994-04-26
Robert Kubica,Polish,1984-12-07
Stoffel Vandoorne,Belgian,1992-03-26
Marcus Ericsson,Swedish,1990-09-02
Brendon Hartley,New Zealander,1989-11-10
Felipe Massa,Brazilian,1981-04-25
Kimi Antonelli,Italian,2006-01-20
