season,round,raceName,driver,constructor
2016,1,Australian Grand Prix,Nico Rosberg,Mercedes
2016,2,Bahrain Grand Prix,Nico Rosberg,Mercedes
2016,3,Chinese Grand Prix,Nico Rosberg,Mercedes
2016,4,Russian Grand Prix,Nico Rosberg,Mercedes
2016,5,Spanish Grand Prix,Max Verstappen,Red Bull Racing
2016,6,Monaco Grand Prix,Lewis Hamilton,Mercedes
2016,7,Canadian Grand Prix,Lewis Hamilton,Mercedes
2016,8,European Grand Prix,Nico Rosberg,Mercedes
2016,9,Austrian Grand Prix,Lewis Hamilton,Mercedes
2016,10,British Grand Prix,Lewis Hamilton,Mercedes
2016,11,Hungarian Grand Prix,Lewis Hamilton,Mercedes
2016,12,German Grand Prix,Lewis Hamilton,Mercedes
2016,13,Belgian Grand Prix,Nico Rosberg,Mercedes
2016,14,Italian Grand Prix,Nico Rosberg,Mercedes
2016,15,Singapore Grand Prix,Nico Rosberg,Mercedes
2016,16,Malaysian Grand Prix,Daniel Ricciardo,Red Bull Racing
2016,17,Japanese Grand Prix,Nico Rosberg,Mercedes
2016,18,United States Grand Prix,Lewis Hamilton,Mercedes
2016,19,Mexican Grand Prix,Lewis Hamilton,Mercedes
2016,20,Brazilian Grand Prix,Lewis Hamilton,Mercedes
2016,21,Abu Dhabi Grand Prix,Lewis Hamilton,Mercedes
2017,1,Australian Grand Prix,Sebastian Vettel,Ferrari
2017,2,Chinese Grand Prix,Lewis Hamilton,Mercedes
2017,3,Bahrain Grand Prix,Sebastian Vettel,Ferrari
2017,4,Russian Grand Prix,Vattteri Bottas,Mercedes
2017,5,Spanish Grand Prix,Lewis Hamilton,Mercedes
2017,6,Monaco Grand Prix,Sebastian Vettel,Ferrari
2017,7,Canadian Grand Prix,Lewis Hamilton,Mercedes
2017,8,Azerbaijan Grand Prix,Daniel Ricciardo,Red Bull Racing
2017,9,Austrian Grand Prix,Valtteri Bottas,Mercedes
2017,10,British Grand Prix,Lewis Hamilton,Mercedes
2017,11,Hungarian Grand Prix,Sebastian Vettel,Ferrari
2017,12,Belgian Grand Prix,Lewis Hamilton,Mercedes
2017,13,Italian Grand Prix,Lewis Hamilton,Mercedes
2017,14,Singapore Grand Prix,Lewis Hamilton,Mercedes
2017,15,Malaysian Grand Prix,Max Verstappen,Red Bull Racing
